Báscula,Ip,Peso,Fecha
Bascuyla 2,192.168.100.70,4.44,2025-07-24 17:14:04
Bascuyla 2,192.168.100.70,4.44,2025-07-24 17:14:04
Bascuyla 2,192.168.100.70,4.44,2025-07-24 17:14:05
Bascuyla 2,192.168.100.70,4.44,2025-07-24 17:14:05
Bascuyla 2,192.168.100.70,4.44,2025-07-24 17:14:05
Bascuyla 2,192.168.100.70,4.44,2025-07-24 17:14:06
Bascuyla 2,192.168.100.70,4.44,2025-07-24 17:14:06
Bascuyla 2,192.168.100.70,4.44,2025-07-24 17:14:06
Bascuyla 2,192.168.100.70,5.69,2025-07-24 17:14:09
Bascuyla 2,192.168.100.70,5.69,2025-07-24 17:14:09
Bascuyla 2,192.168.100.70,5.69,2025-07-24 17:14:10
Bascuyla 2,192.168.100.70,5.69,2025-07-24 17:14:10
Bascuyla 2,192.168.100.70,5.69,2025-07-24 17:14:10
Bascuyla 2,192.168.100.70,5.69,2025-07-24 17:14:11
Bascuyla 2,192.168.100.70,5.69,2025-07-24 17:14:11
